"ID","DATE.OF.INTERVIEW","VIP.toilets","ECOSAN.toilets","Inside.waterflush.toilets","Outside.waterflush.toilets","Poor.flush.Inside","Poor.flush.Outside","Pit.Latrine","Disused.Buried","Total.number.of.toilets.0.","Enough.space.another.toilet","Where.do.you.dispose.your.solid.wastes.","Age.of.toilet..Years...Age","Interface.Layout","CONTAINMENT.SUBSTRUCTURE","Condition.of.the.components..Interface...Score.Condition","Condition.of.the.components..Substructure.Containment....Score.Condition","Record.the.observed.shape.of.the.substructure.containment.","Diameter","Length","Is.washing.hand.basin.present.","Any.overflow.flooding.","area.m3"
"4162","2017-04-07",NA,NA,NA,NA,NA,NA,1,2,3,TRUE,"Rubbish Pit",1,"Squat hole (Dry toilet)","Pit latrine",4,4,"Rectagular",NA,2.5,"No","No",4.5
"4163","2017-04-07",NA,NA,NA,NA,NA,1,0,NA,1,TRUE,"Rubbish Pit",9,"Squat with pour (bucket) flushing system","Septic Tank",3,3,"Rectagular",NA,340,"No","No",12.5
"4164","2017-04-07",NA,NA,NA,NA,NA,2,0,1,3,TRUE,"Rubbish Pit",0,"Squat hole (Dry toilet)","Pit latrine",4,4,"Rectagular",NA,344,"Yes","Yes",4.5
"4165","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",2,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,100,"No","No",4.5
"4166","2017-04-07",1,NA,NA,NA,NA,NA,0,NA,1,TRUE,"Bin which is collected CBEs",8,"Squat hole (Dry toilet)","Pit latrine",4,4,"Rectagular",NA,400,"No",NA,4.5
"4167","2017-04-07",NA,NA,NA,NA,NA,NA,1,0,1,TRUE,"Bin which is collected CBEs",27,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,3.1,"No","No",4.5
"4168","2017-04-07",NA,NA,1,NA,NA,NA,0,NA,1,TRUE,"Bin which is collected CBEs",3,"Sit down toilet with manual (hand) flushing system","Septic Tank",5,4,"Rectagular",NA,2.7,"Yes","No",12.5
"4169","2017-04-07",NA,NA,NA,NA,NA,NA,1,0,1,TRUE,"Bin which is collected CBEs",5,"Squat hole (Dry toilet)","Pit latrine",4,4,"Rectagular",NA,1.87,"No","No",4.5
"4170","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",0,"Squat hole (Dry toilet)","Pit latrine",4,4,"Rectagular",NA,295,"No","No",4.5
"4171","2017-04-07",NA,NA,NA,NA,NA,1,0,NA,1,FALSE,"Bin which is collected CBEs",2,"Squat with pour (bucket) flushing system","Septic Tank",4,4,"Rectagular",NA,400,"No","No",12.5
"4172","2017-04-07",NA,NA,NA,NA,NA,NA,1,1,2,TRUE,"Rubbish Pit",7,"Squat hole (Dry toilet)","Pit latrine",2,2,"Rectagular",NA,3,"No","No",4.5
"4173","2017-04-07",NA,NA,NA,NA,NA,NA,2,1,3,TRUE,"Bin which is self disposed",1,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,260,"No","No",4.5
"4174","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Bin which is collected CBEs",8,NA,"Pit latrine",3,3,"Rectagular",NA,2.67,"No","No",4.5
"4175","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Bin which is self disposed",NA,"Squat hole (Dry toilet)","Pit latrine",4,4,"Rectagular",NA,210,"No",NA,4.5
"4176","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",10,"Squat hole (Dry toilet)","Septic Tank",3,4,"Rectagular",NA,300,NA,"No",12.5
"4177","2017-04-07",NA,NA,1,NA,NA,1,0,3,5,TRUE,"Bin which is collected CBEs",NA,"Squat with pour (bucket) flushing system","Septic Tank",4,4,"Rectagular",NA,2.9,"No","No",12.5
"4178","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",3,"Squat hole (Dry toilet)","Pit latrine",4,4,"Rectagular",NA,150,"No","No",4.5
"4179","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Bin which is collected CBEs",4,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,300,"No","No",4.5
"4180","2017-04-07",NA,NA,NA,NA,NA,1,0,1,2,FALSE,"Bin which is collected CBEs",0,"Squat with pour (bucket) flushing system","Septic Tank",4,4,"Rectagular",NA,180,"Yes","Yes",12.5
"4181","2017-04-07",NA,NA,NA,NA,NA,NA,1,1,2,TRUE,"Rubbish Pit",2,"Squat hole (Dry toilet)","Pit latrine",4,4,"Rectagular",NA,2.44,"No","No",4.5
"4182","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Bin which is collected CBEs",1,"Squat hole (Dry toilet)","Pit latrine",3,3,"Circular",260,NA,"No","No",4.5
"4183","2017-04-07",NA,NA,NA,NA,NA,NA,0,2,2,TRUE,"Bin which is collected CBEs",0,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,185,"No","No",4.5
"4184","2017-04-07",NA,NA,NA,1,NA,NA,0,1,2,FALSE,"Rubbish Pit",NA,"Sit down toilet with pour (bucket) flushing system","Septic Tank",4,4,"Rectagular",NA,2.4,"Yes","No",12.5
"4185","2017-04-07",NA,NA,NA,NA,NA,1,0,NA,1,TRUE,"Bin which is self disposed",2,"Squat with pour (bucket) flushing system","Septic Tank",4,4,"Rectagular",NA,170,"No","No",12.5
"4186","2017-04-07",NA,NA,NA,NA,NA,NA,1,1,2,TRUE,"Bin which is collected CBEs",11,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,3,"No","No",4.5
"4187","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",6,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,200,"No","No",4.5
"4188","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",4,"Squat with pour (bucket) flushing system","Pit latrine",3,3,"Rectagular",NA,160,"No","No",4.5
"4189","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,FALSE,"Bin which is collected CBEs",11,"Squat hole (Dry toilet)","Pit latrine",4,4,"Rectagular",NA,200,"No","No",4.5
"4190","2017-04-07",NA,NA,NA,NA,NA,2,0,NA,2,TRUE,"Bin which is collected CBEs",0,"Squat with pour (bucket) flushing system","Septic Tank",4,4,"Rectagular",NA,205,"No","No",12.5
"4191","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Bin which is collected CBEs",1,"Squat hole (Dry toilet)","Pit latrine",2,2,"Rectagular",NA,2.3,"Yes","No",4.5
"4192","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Bin which is collected CBEs",NA,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,2.4,"No","No",4.5
"4193","2017-04-07",NA,NA,NA,NA,NA,NA,1,1,2,TRUE,"Bin which is collected CBEs",15,"Squat hole (Dry toilet)","Pit latrine",4,4,"Rectagular",NA,3,"No","No",4.5
"4194","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Bin which is collected CBEs",12,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,2.94,"Yes","No",4.5
"4195","2017-04-07",NA,NA,NA,NA,NA,1,0,NA,1,TRUE,"Rubbish Pit",4,"Squat hole (Dry toilet)","Septic Tank",3,3,"Rectagular",NA,180,"No","No",12.5
"4196","2017-04-07",NA,NA,NA,NA,NA,1,0,NA,1,TRUE,"Bin which is self disposed",NA,"Squat with pour (bucket) flushing system","Septic Tank",4,5,"Rectagular",NA,395,"No","No",12.5
"4197","2017-04-07",NA,NA,NA,NA,NA,1,0,1,2,TRUE,"Rubbish Pit",2,"Squat with pour (bucket) flushing system","Septic Tank",4,4,"Rectagular",NA,4,"No","No",12.5
"4198","2017-04-07",NA,NA,NA,NA,NA,NA,1,0,1,TRUE,"Bin which is collected CBEs",10,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,3.7,"No","No",4.5
"4199","2017-04-07",NA,NA,NA,NA,NA,NA,1,1,2,TRUE,"Rubbish Pit",6,"Squat hole (Dry toilet)","Pit latrine",4,3,"Rectagular",NA,300,"Yes","Yes",4.5
"4200","2017-04-07",NA,NA,NA,NA,NA,NA,1,0,1,TRUE,"Bin which is self disposed",1,"Squat hole (Dry toilet)","Pit latrine",4,4,"Rectagular",NA,2.2,"No","No",4.5
"4201",NA,NA,NA,NA,NA,NA,NA,1,NA,1,FALSE,"Bin which is self disposed",NA,"Squat hole (Dry toilet)","Pit latrine",4,4,NA,NA,NA,"No","No",4.5
"4202","2017-04-07",NA,NA,NA,NA,NA,1,0,NA,1,TRUE,"Rubbish Pit",13,"Squat with pour (bucket) flushing system","Septic Tank",3,3,"Rectagular",NA,290,"Yes","No",12.5
"4203","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Bin which is collected CBEs",22,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,2.2,"No","No",4.5
"4204","2017-04-07",NA,NA,1,NA,NA,NA,0,NA,1,TRUE,"Rubbish Pit",16,"Sit down toilet with manual (hand) flushing system","Septic Tank",3,3,"Rectagular",NA,2.2,"Yes","No",12.5
"4205","2017-04-07",1,NA,NA,NA,NA,2,0,NA,3,FALSE,"Rubbish Pit",NA,"Squat with pour (bucket) flushing system","Septic Tank",4,4,"Rectagular",NA,435,"No","No",12.5
"4206","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Bin which is collected CBEs",7,"Squat hole (Dry toilet)","Pit latrine",4,4,"Rectagular",NA,3,"No",NA,4.5
"4207","2017-04-07",NA,NA,NA,NA,NA,1,0,2,3,TRUE,"Bin which is collected CBEs",NA,"Squat with pour (bucket) flushing system","Septic Tank",3,3,"Circular",2.7,NA,"No","No",12.5
"4208","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Bin which is collected CBEs",NA,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,4.2,"No","No",4.5
"4209","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Bin which is collected CBEs",12,"Squat hole (Dry toilet)","Pit latrine",4,4,"Rectagular",NA,200,"No",NA,4.5
"4210","2017-04-07",NA,NA,NA,NA,NA,1,0,NA,1,TRUE,"Bin which is collected CBEs",13,"Sit down toilet with pour (bucket) flushing system","Pit latrine",3,3,"Rectagular",NA,3,"No","No",4.5
"4211","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Bin which is collected CBEs",6,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,5,"No","No",4.5
"4212","2017-04-07",NA,NA,NA,NA,NA,NA,1,4,5,TRUE,"Bin which is collected CBEs",3,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,2.7,"No","No",4.5
"4213","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,FALSE,"Rubbish Pit",2,"Squat hole (Dry toilet)","Pit latrine",4,4,"Rectagular",NA,200,NA,"No",4.5
"4214","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",0,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,380,"No","No",4.5
"4215","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Bin which is self disposed",8,"Multiple choice","Pit latrine",3,3,"Rectagular",NA,270,"No","No",4.5
"4216","2017-04-07",NA,NA,NA,NA,NA,1,0,NA,1,TRUE,"Rubbish Pit",10,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,210,"No","No",4.5
"4217","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",20,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,2,"No","No",4.5
"4218","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Bin which is collected CBEs",5,"Squat hole (Dry toilet)","Pit latrine",3,3,"Circular",220,NA,"No","No",4.5
"4219","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",NA,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,2.2,"No","No",4.5
"4220","2017-04-07",NA,NA,NA,NA,NA,NA,2,1,3,TRUE,"Rubbish Pit",NA,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,2000,"No","No",4.5
"4221","2017-04-07",NA,NA,NA,NA,NA,NA,1,1,2,TRUE,"Bin which is collected CBEs",5,"Squat hole (Dry toilet)","Pit latrine",4,4,"Rectagular",NA,2.5,"No","No",4.5
"4222","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Bin which is self disposed",2,"Squat hole (Dry toilet)","Pit latrine",4,4,"Rectagular",NA,280,"No","No",4.5
"4223","2017-04-07",NA,NA,NA,NA,NA,NA,1,3,4,TRUE,"Rubbish Pit",8,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,3.28,"No","No",4.5
"4224","2017-04-07",NA,NA,NA,NA,NA,1,0,NA,1,TRUE,"Rubbish Pit",2,"Squat with pour (bucket) flushing system","Septic Tank",4,4,"Rectagular",NA,130,"No","No",12.5
"4225","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",9,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,295,"No","No",4.5
"4226","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Bin which is collected CBEs",8,"Squat hole (Dry toilet)","Pit latrine",4,4,"Rectagular",NA,250,"No","No",4.5
"4227","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Bin which is self disposed",8,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,2.8,"Yes","No",4.5
"4228","2017-04-07",NA,NA,NA,NA,NA,1,0,1,2,TRUE,"Multiple Choices",2,"Other","Septic Tank",4,4,"Circular",350,NA,"No","No",12.5
"4229","2017-04-07",NA,NA,NA,NA,NA,NA,1,0,1,TRUE,"Bin which is collected CBEs",4,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,2.4,"No","No",4.5
"4230","2017-04-04",NA,NA,NA,3,NA,NA,1,2,6,FALSE,"Multiple Choices",4,"Squat hole (Dry toilet)","Pit latrine",5,5,"Rectagular",NA,490,"No","No",4.5
"4231","2017-04-07",NA,NA,NA,NA,NA,1,0,1,2,TRUE,"Bin which is collected CBEs",5,"Squat with pour (bucket) flushing system","Septic Tank",4,4,"Rectagular",NA,2.4,"No","No",12.5
"4232","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Bin which is collected CBEs",15,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,2.6,"No","No",4.5
"4233","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",8,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,225,"No","No",4.5
"4234","2017-04-07",NA,NA,NA,NA,NA,1,0,NA,1,TRUE,"Rubbish Pit",2,"Squat with pour (bucket) flushing system","Septic Tank",4,4,"Rectagular",NA,140,"No","No",12.5
"4235","2017-04-08",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",5,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,390,"No","No",4.5
"4236","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Bin which is collected CBEs",2,"Squat with pour (bucket) flushing system","Septic Tank",3,3,"Rectagular",NA,3.3,"No","No",12.5
"4237",NA,NA,NA,NA,NA,NA,1,0,NA,1,FALSE,"Bin which is collected CBEs",NA,"Squat with pour (bucket) flushing system","Septic Tank",4,4,"Rectagular",NA,200,"Yes","No",12.5
"4238","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",10,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,2.13,"No","Yes",4.5
"4239","2017-04-09",NA,NA,NA,NA,NA,NA,1,0,1,TRUE,"Bin which is collected CBEs",1,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,2.65,"No","No",4.5
"4240","2017-04-07",NA,NA,NA,NA,NA,NA,1,1,2,TRUE,"Rubbish Pit",3,"Squat hole (Dry toilet)","Pit latrine",3,4,"Rectagular",NA,2.7,"No","No",4.5
"4241","2017-04-07",NA,NA,NA,NA,NA,NA,1,1,2,TRUE,"Rubbish Pit",21,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,250,"No","No",4.5
"4242","2017-04-07",NA,NA,NA,NA,NA,1,0,NA,1,TRUE,"Bin which is collected CBEs",1,"Squat with pour (bucket) flushing system","Septic Tank",4,4,"Rectagular",NA,3.4,"No","No",12.5
"4243","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",15,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,200,"No","No",4.5
"4244","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Bin which is collected CBEs",5,"Sit down toilet with pour (bucket) flushing system","Pit latrine",4,3,"Rectagular",NA,3.14,"No","No",4.5
"4245","2017-04-07",NA,NA,1,NA,NA,NA,1,NA,2,FALSE,"Bin which is collected CBEs",7,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,3,"No","No",4.5
"4246","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",2,"Squat hole (Dry toilet)","Pit latrine",2,2,"Rectagular",NA,150,"No","No",4.5
"4247","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,FALSE,"Bin which is self disposed",7,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,350,"No",NA,4.5
"4248","2017-04-07",NA,NA,NA,NA,NA,NA,1,0,1,TRUE,"Bin which is collected CBEs",15,NA,"Septic Tank",3,3,"Rectagular",NA,2.8,"No","No",12.5
"4249","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",10,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,184,"No","Yes",4.5
"4250","2017-04-07",NA,NA,NA,NA,NA,1,0,NA,1,TRUE,"Bin which is collected CBEs",6,"Sit down toilet with pour (bucket) flushing system","Pit latrine",4,4,"Rectagular",NA,2.1,"No","No",4.5
"4251","2017-04-07",NA,NA,NA,NA,NA,1,0,NA,1,TRUE,"Bin which is collected CBEs",5,"Squat with pour (bucket) flushing system","Septic Tank",4,4,"Rectagular",NA,3.06,"No","No",12.5
"4252","2017-04-07",NA,NA,NA,NA,NA,NA,1,1,2,TRUE,"Rubbish Pit",2,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,230,"No","No",4.5
"4253","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",6,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,260,"No","No",4.5
"4254","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Multiple Choices",10,"Squat hole (Dry toilet)","Pit latrine",4,4,"Rectagular",NA,2.39,"Yes","No",4.5
"4255","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",2,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,2.9,"No","No",4.5
"4256","2017-04-07",NA,NA,NA,NA,NA,1,0,NA,1,TRUE,"Rubbish Pit",NA,"Squat with pour (bucket) flushing system","Septic Tank",5,5,"Rectagular",NA,350,"No","No",12.5
"4257","2017-04-07",NA,NA,NA,NA,NA,1,0,2,3,FALSE,"Bin which is collected CBEs",9,"Squat with pour (bucket) flushing system","Septic Tank",3,3,"Rectagular",NA,2.1,"No","No",12.5
"4258","2017-04-14",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",2,"Squat hole (Dry toilet)","Pit latrine",4,4,"Rectagular",NA,2.6,"No","Yes",4.5
"4259","2017-04-07",NA,NA,NA,1,NA,NA,0,NA,1,FALSE,"Rubbish Pit",1,"Squat with pour (bucket) flushing system","Septic Tank",4,4,NA,NA,NA,"Yes","No",12.5
"4260","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",4,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,305,"No",NA,4.5
"4261","2017-04-07",NA,NA,NA,NA,NA,1,0,NA,1,FALSE,"Bin which is collected CBEs",2,"Sit down toilet with pour (bucket) flushing system","Septic Tank",4,4,"Rectagular",NA,350,"No","No",12.5
"4262","2017-04-07",NA,NA,NA,NA,NA,1,0,NA,1,TRUE,"Rubbish Pit",0,"Squat with pour (bucket) flushing system","Septic Tank",4,4,"Rectagular",NA,250,"No","No",12.5
"4263","2017-04-07",NA,NA,NA,NA,NA,1,0,NA,1,FALSE,"Bin which is collected CBEs",2,"Squat with pour (bucket) flushing system","Septic Tank",4,4,"Rectagular",NA,225,"No","No",12.5
"4264","2017-04-07",NA,NA,NA,NA,NA,1,0,1,2,TRUE,"Rubbish Pit",2,"Squat with pour (bucket) flushing system","Septic Tank",4,4,"Rectagular",NA,1.8,"No","No",12.5
"4265","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",8,"Squat hole (Dry toilet)","Pit latrine",1,1,"Rectagular",NA,180,"No","No",4.5
"4266","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",1,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,280,"No","No",4.5
"4267","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",9,"Squat hole (Dry toilet)","Pit latrine",3,4,"Rectagular",NA,220,"No","No",4.5
"4268","2017-04-07",NA,NA,NA,NA,NA,1,0,1,2,TRUE,"Bin which is collected CBEs",3,"Squat with pour (bucket) flushing system","Septic Tank",4,4,"Rectagular",NA,257,"No","No",12.5
"4269","2017-04-07",NA,NA,1,1,NA,NA,1,NA,3,FALSE,"Bin which is collected CBEs",18,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,2.5,"No","No",4.5
"4270","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",6,"Squat hole (Dry toilet)","Pit latrine",2,2,"Rectagular",NA,120,"No","No",4.5
"4271","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",7,"Squat hole (Dry toilet)","Pit latrine",4,4,"Rectagular",NA,250,"Yes","No",4.5
"4272","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Bin which is collected CBEs",6,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,3,"No","No",4.5
"4273","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Bin which is collected CBEs",9,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,1.8,"No","No",4.5
"4274","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Bin which is collected CBEs",17,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,3.9,"No","No",4.5
"4275","2017-04-07",NA,NA,NA,NA,NA,NA,1,1,2,TRUE,"Bin which is collected CBEs",4,"Squat hole (Dry toilet)","Pit latrine",4,4,"Rectagular",NA,1.75,"No","No",4.5
"4276","2017-04-07",NA,NA,NA,NA,NA,NA,3,NA,3,TRUE,"Bin which is self disposed",10,"Squat hole (Dry toilet)","Pit latrine",4,4,NA,NA,NA,"Yes",NA,4.5
"4277","2017-04-07",NA,NA,NA,NA,NA,1,0,NA,1,FALSE,"Bin which is collected CBEs",7,"Sit down toilet with pour (bucket) flushing system","Septic Tank",4,4,"Rectagular",NA,210,"Yes","No",12.5
"4278","2017-04-07",NA,NA,NA,NA,NA,1,0,NA,1,TRUE,"Rubbish Pit",5,"Sit down toilet with pour (bucket) flushing system","Pit latrine",3,3,"Rectagular",NA,2.2,"No","No",4.5
"4279","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",10,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,400,"No","No",4.5
"4280","2017-04-07",NA,NA,NA,NA,NA,1,0,NA,1,FALSE,"Bin which is collected CBEs",0,"Squat with pour (bucket) flushing system","Septic Tank",4,4,"Rectagular",NA,290,"No","No",12.5
"4281","2017-04-11",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Bin which is collected CBEs",3,"Squat hole (Dry toilet)","Pit latrine",4,4,"Rectagular",NA,3.2,"No",NA,4.5
"4282","2017-04-07",NA,NA,NA,NA,NA,NA,1,1,2,TRUE,"Bin which is collected CBEs",NA,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,1.4,"No","No",4.5
"4283","2017-04-07",NA,NA,NA,1,NA,NA,0,NA,1,FALSE,"Bin which is self disposed",2,"Sit down toilet with pour (bucket) flushing system","Septic Tank",4,5,"Rectagular",NA,306,"No",NA,12.5
"4284","2017-04-07",1,NA,NA,NA,NA,NA,0,0,1,TRUE,"Bin which is collected CBEs",15,"Squat hole (Dry toilet)","Pit latrine",4,4,"Rectagular",NA,2.3,"No",NA,4.5
"4285","2017-04-07",0,0,0,0,0,0,0,1,1,TRUE,"Rubbish Pit",20,"Multiple choice","Other (please specify)",2,1,"Rectagular",NA,2.2,"No","No",0
"4286","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Bin which is collected CBEs",1,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,1.8,"No","No",4.5
"4287","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Bin which is collected CBEs",14,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,4,"No","No",4.5
"4288","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Bin which is collected CBEs",11,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,230,"No","No",4.5
"4289","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",10,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,238,"No","No",4.5
"4290","2017-04-07",NA,NA,NA,NA,NA,NA,1,NA,1,TRUE,"Rubbish Pit",5,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,115,"No","No",4.5
"4291","2017-04-07",NA,NA,NA,NA,NA,NA,1,1,2,TRUE,"Bin which is collected CBEs",8,"Squat hole (Dry toilet)","Pit latrine",4,4,"Rectagular",NA,2.3,"No","No",4.5
"4292","2017-04-07",NA,NA,NA,NA,NA,NA,1,1,2,TRUE,"Bin which is collected CBEs",13,"Squat hole (Dry toilet)","Pit latrine",3,3,"Rectagular",NA,2.35,"No","No",4.5
"4293","2017-04-07",NA,NA,NA,NA,NA,1,0,1,2,TRUE,"Bin which is collected CBEs",3,"Sit down toilet with pour (bucket) flushing system","Septic Tank",3,3,"Rectagular",NA,3,"No","No",12.5
"4294","2017-04-07",NA,NA,2,NA,NA,NA,1,NA,3,FALSE,"Bin which is collected CBEs",3,NA,"Septic Tank",4,4,"Rectagular",NA,2.1,"No","No",12.5
